Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2000","2000","tonnes","2079280","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2001","2001","tonnes","1959272","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2002","2002","tonnes","1873346","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2003","2003","tonnes","2042570","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2004","2004","tonnes","2016687","","Official data"
"TP","Crops and livestock products","48","Costa Rica","5910","Export Quantity","486","Bananas","2005","2005","tonnes","1775519","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1993","1993","tonnes","2563223","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1994","1994","tonnes","3007925","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1995","1995","tonnes","3665182","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1996","1996","tonnes","3866079","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1997","1997","tonnes","4462099","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1998","1998","tonnes","3855643","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","1999","1999","tonnes","3966126","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2000","2000","tonnes","3993968","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2001","2001","tonnes","3990427","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2002","2002","tonnes","4199156","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2003","2003","tonnes","4664814","","Official data"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2004","2004","tonnes","4521458","*","Unofficial figure"
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","486","Bananas","2005","2005","tonnes","4764193","","Official data"
